2025-11-08 10:16:27 | INFO     | aiapi.src.aiapi.services.vocabulary_service | add_vocabulary:139 | Added vocabulary word: teacher (education, beginner)
2025-11-08 10:16:27 | INFO     | aiapi.performance | __exit__:237 | add_vocabulary_teacher: 0.177s
2025-11-08 10:16:28 | INFO     | aiapi.src.aiapi.services.vocabulary_service | add_vocabulary:139 | Added vocabulary word: homework (education, beginner)
2025-11-08 10:16:28 | INFO     | aiapi.performance | __exit__:237 | add_vocabulary_homework: 0.153s
2025-11-08 10:16:28 | INFO     | aiapi.src.aiapi.services.vocabulary_service | add_vocabulary:139 | Added vocabulary word: classroom (education, beginner)
2025-11-08 10:16:28 | INFO     | aiapi.performance | __exit__:237 | add_vocabulary_classroom: 0.336s
2025-11-08 10:16:28 | INFO     | aiapi.src.aiapi.services.vocabulary_service | add_vocabulary:139 | Added vocabulary word: exam (education, beginner)
2025-11-08 10:16:28 | INFO     | aiapi.performance | __exit__:237 | add_vocabulary_exam: 0.165s
2025-11-08 10:16:28 | INFO     | aiapi.src.aiapi.services.vocabulary_service | add_vocabulary:139 | Added vocabulary word: curriculum (education, intermediate)
2025-11-08 10:16:28 | INFO     | aiapi.performance | __exit__:237 | add_vocabulary_curriculum: 0.152s
2025-11-08 10:16:28 | INFO     | aiapi.src.aiapi.services.vocabulary_service | add_vocabulary:139 | Added vocabulary word: scholarship (education, intermediate)
2025-11-08 10:16:28 | INFO     | aiapi.performance | __exit__:237 | add_vocabulary_scholarship: 0.181s
2025-11-08 10:16:29 | INFO     | aiapi.src.aiapi.services.vocabulary_service | add_vocabulary:139 | Added vocabulary word: assignment (education, intermediate)
2025-11-08 10:16:29 | INFO     | aiapi.performance | __exit__:237 | add_vocabulary_assignment: 0.145s
2025-11-08 10:16:29 | INFO     | aiapi.src.aiapi.services.vocabulary_service | add_vocabulary:139 | Added vocabulary word: dissertation (education, intermediate)
2025-11-08 10:16:29 | INFO     | aiapi.performance | __exit__:237 | add_vocabulary_dissertation: 0.161s
2025-11-08 10:16:29 | INFO     | aiapi.src.aiapi.services.vocabulary_service | add_vocabulary:139 | Added vocabulary word: pedagogy (education, advanced)
2025-11-08 10:16:29 | INFO     | aiapi.performance | __exit__:237 | add_vocabulary_pedagogy: 0.250s
2025-11-08 10:16:29 | INFO     | aiapi.src.aiapi.services.vocabulary_service | add_vocabulary:139 | Added vocabulary word: interdisciplinary (education, advanced)
